Location,Date collected,Time collected (h),Quadrat size (m^2),Quadrat identifier,Length (anterior-posterior) (mm),Width (lateral axis) (mm),Status,Left valve age,Right valve age,"Shell erosion from umbone, left (mm)","Shell erosion from umbone, right (mm)",Latitude (decimal degrees N),Longitude (decimal degrees W)
Sol Legare (side B),7/12/2016,930,0.0625,3a,113.7,34,Live,13,11,40.3,,Brown,Brown
Sol Legare (side B),7/12/2016,930,0.0625,3a,78.2,22.5,Live,2,2,,,Brown,Brown
Sol Legare (side B),7/12/2016,930,0.0625,3a,100.7,30.3,Live,7,7,,,Yellow,Yellow
Sol Legare (side B),7/12/2016,930,0.0625,3a,95.4,29.9,Live,3,3,,,Brown,Brown
Sol Legare (side B),7/12/2016,930,0.0625,3a,103,32.3,Live,6,6,,,Yellow,Yellow
Sol Legare (side B),7/12/2016,930,0.0625,3a,111.3,30.2,Live,10,11,34.5,32,Brown,Brown
Sol Legare (side B),7/12/2016,930,0.0625,3a,98.3,26.6,Live,3,3,,,Brown,Brown
Sol Legare (side B),7/12/2016,930,0.0625,3a,89.3,22.4,Live,3,3,,,Yellow,Yellow
Sol Legare (side B),7/12/2016,930,0.0625,3a,81,21.7,Live,3,3,,,Yellow,Yellow
Sol Legare (side B),7/12/2016,930,0.0625,3a,110.3,34.2,Dead,13,13,34.5,32.5,N/A,N/A
Sol Legare (side B),7/12/2016,930,0.0625,3a,117.9,34.9,Dead,10,11,39.5,52,N/A,N/A
Sol Legare (side B),7/12/2016,930,0.0625,3a,114,33.5,Live,13,11,47,46.5,Brown,Brown
Sol Legare (side B),7/12/2016,930,0.0625,3a,94,26.8,Live,4,4,,,Brown,Brown
Sol Legare (side B),7/12/2016,930,0.0625,3a,68.4,17,Live,2,2,,,Yellow,Yellow
Sol Legare (side B),7/12/2016,930,0.0625,3a,104.6,29.8,Live,9,9,,,Brown,Brown
Sol Legare (side B),7/12/2016,930,0.0625,3a,88.7,23.1,Live,5,5,,,Yellow,Yellow
Sol Legare (side B),7/12/2016,930,0.0625,3a,105.3,30.3,Live,7,7,,,Yellow,Yellow
Sol Legare (side B),7/12/2016,930,0.0625,3a,101.6,29.6,Live,7,7,,,Brown,Brown
Sol Legare (side B),7/12/2016,930,0.0625,3a,116.9,36.9,Dead,13,12,40,37.5,N/A,N/A
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,32.2,,Live,1,1,,,N/A,N/A
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,31.8,,Live,1,1,,,N/A,N/A
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,5.1,,Live,0,0,,,N/A,N/A
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,6.2,,Live,0,0,,,N/A,N/A
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,9.7,,Live,0,0,,,N/A,N/A
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,11.9,,Live,0,0,,,N/A,N/A
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,6.7,,Live,0,0,,,N/A,N/A
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,103.6,,Live,13,12,51,49.5,Yellow,Yellow
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,91.9,,Live,11,10,35,33,Brown,Brown
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,94.1,,Dead,12,12,27.5,3,N/A,N/A
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,91.6,,Live,9,8,40.5,36,Yellow,Yellow
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,69.8,,Live,3,3,,,Yellow,Yellow
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,84,,Live,6,6,,,Yellow,Yellow
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,85.2,,Live,7,7,,,Yellow,Yellow
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,66.2,,Live,2,2,,,Yellow,Yellow
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,98,,Live,13,13,,,Yellow,Yellow
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,94.9,,Live,9,9,,,Yellow,Yellow
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,77.1,,Live,5,5,,,Yellow,Yellow
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,76,,Live,4,4,,,Brown,Brown
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,100.8,,Live,10,10,,,Brown,Brown
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,67.9,,Live,3,3,,,Yellow,Yellow
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,98.5,,Live,6,6,,,Yellow,Yellow
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,98.6,,Live,8,8,40,40,Brown,Brown
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,90.5,,Live,8,8,,,Brown,Brown
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,94.7,,Live,4,4,,,Brown,Brown
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,83.8,,Live,5,5,,,Yellow,Yellow
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,84.7,,Live,5,5,,,Yellow,Yellow
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,97,,Live,10,10,33.5,32,Yellow,Yellow
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,88.4,,Live,9,,,,Yellow,Yellow
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,75.7,,Live,4,,,,Brown,Brown
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,82.8,,Live,5,,,,Yellow,Yellow
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,85.9,,Live,7,,,,Brown,Brown
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,74.6,,Live,4,,,,Yellow,Yellow
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,57.9,,Live,2,,,,Yellow,Yellow
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,77.7,,Live,4,,,,Brown,Brown
