Location,Date collected,Month.code,Time collected (h),Quadrat identifier,Length mm,Growth bands,Shell erosion (mm),Notes
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8c,94.8,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8c,63.3,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8c,117.7,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8c,53.5,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8c,101.2,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8c,95.6,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8c,107.3,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8c,103.5,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8c,106.9,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8c,98.1,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8c,89.7,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8c,83,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8c,99.2,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8c,51.6,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8c,106.3,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8c,96.8,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8c,90.4,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8c,97.8,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8c,91.7,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8c,86.9,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8c,57.7,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8c,76.2,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8c,51.7,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8c,75.8,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8c,102.6,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8c,93.7,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8c,106,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8c,101.9,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8c,80.2,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8c,85.9,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8c,101,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8c,108.9,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8c,98.4,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8c,59.9,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8c,90.2,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8c,50.9,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8d,4,0,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8d,6.4,0,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8d,7.6,0,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8d,31.3,1,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8d,52.4,2,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8d,49.1,1,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8d,69.1,3,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8d,84.4,3,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8d,93,10,28.5,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8d,115.2,17,36.5,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8d,103.8,10,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8d,104.5,14,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8d,93.9,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8d,95.7,,,
